Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A524;2023-05-03;2023-05-10;3110;Biljetter;KUL1;;Zettle Kultur Lv4 Lp4;Skvalborgsbiljetter;;1470
A525;2023-05-03;2023-08-31;1942;Bank café;;;Zettle FNU Lv4 Lp4;;25000;
A525;2023-05-03;2023-08-31;3211;Intäkt från företag;FNU1;;Zettle FNU Lv4 Lp4;;;25000
A526;2023-04-26;2023-05-10;1941;Bank F;;;Kundbet Daniel Fogelberg (1843);;50;
A526;2023-04-26;2023-05-10;1610;Fordringar;;;Kundbet Daniel Fogelberg (1843);;;50
A527;2023-05-09;2023-05-10;1941;Bank F;;;Kundbet Nkt Hv Cables AB (1846);;25000;
A527;2023-05-09;2023-05-10;1610;Fordringar;;;Kundbet Nkt Hv Cables AB (1846);;;25000
A528;2023-04-28;2023-05-10;1941;Bank F;;;Kundbet Jane Street UK Partnership, LLP (1838);;18000;
A528;2023-04-28;2023-05-10;1610;Fordringar;;;Kundbet Jane Street UK Partnership, LLP (1838);;;18000
A529;2023-04-28;2023-05-10;1941;Bank F;;;Internationelinbetalningsavgift Janestreet  ;;;10
A529;2023-04-28;2023-05-10;6570;Bankkostnader;ADM1;;Internationelinbetalningsavgift Janestreet  ;;10;
A530;2023-04-28;2023-09-25;1942;Bank café;;;Zettle Komplet Lv5 Lp4;;50462,77;
A530;2023-04-28;2023-09-25;3010;Försäljning;CAF1;;Zettle Komplet Lv5 Lp4;;;25428
A530;2023-04-28;2023-09-25;3110;Biljetter;KUL2;;Zettle Komplet Lv5 Lp4;Padelturnering;;2240
A530;2023-04-28;2023-09-25;3110;Biljetter;SEX1;;Zettle Komplet Lv5 Lp4;Temasläpp;;17860
A530;2023-04-28;2023-09-25;3121;Dryckesförsäljning;SEX1;;Zettle Komplet Lv5 Lp4;Temasläpp;;5710
A530;2023-04-28;2023-09-25;6571;Transaktionsavgifter;ADM1;;Zettle Komplet Lv5 Lp4;;775,23;
A531;2023-05-15;2023-05-15;1941;Bank F;;;Kundbet Arriver Software AB (1854);;;25000
A531;2023-05-15;2023-05-15;1610;Fordringar;;;Kundbet Arriver Software AB (1854);;25000;
A532;2023-05-15;2023-05-15;1941;Bank F;;;Kundbet Arriver Software AB (1824);;25000;
